Body Type,Club,Club (group),Contract Valid Until,Height,ID,Jersey Number,Joined,Loaned From,Name,Nationality,Play|Not_Play,Position,Preferred Foot,Release Clause,Value,Wage,Weight,Work Rate,Acceleration,Age,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,F1,Finishing,FK Accuracy,GK calculation,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,International Reputation,Jumping,Long Passing,Long Shots,Marking,Number of Records,Overall,Penalties,Positioning,Potential,Reactions,Short Passing,Shot Power,Skill Moves,Sliding Tackle,Special,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot
Normal,Hertha BSC,Hertha BSC,2022,6'0,237629,23,04-02-2017,,A. Maier,Germany,No,LDM,Right,€17.4M,€7.5M,€10K,174lbs,High/ Medium,67,19,49,75,74,76,73,63,49,73,2743,53,44,Low,14,10,10,8,7,32,57,1,50,72,62,76,1,73,38,66,86,73,78,64,3,45,1781,71,78,66,68,74,39,3
Normal,Roma,Roma,2022,6'0,222558,2,01-07-2017,,R. Karsdorp,Netherlands,No,RB,Right,€13.3M,€7.5M,€39K,176lbs,High/ Medium,86,23,78,65,65,75,68,77,60,76,1767,53,60,High,13,7,14,16,15,69,67,1,74,73,69,71,1,75,52,65,80,73,72,80,3,75,2036,87,72,75,69,67,66,3
Normal,Manchester United,Manchester United,2023,6'0,234574,20,09-06-2018,,Diogo Dalot,Portugal,No,RB,Right,€9.6M,€4.7M,€26K,157lbs,High/ Medium,73,19,80,69,63,74,73,75,75,73,3451,52,44,High,10,6,10,6,8,65,68,1,78,58,59,72,1,72,43,68,84,76,69,76,3,67,1906,73,79,68,71,54,44,3
Normal,Brighton & Hove Albion,Europe league,2023,6'0,236480,8,17-07-2018,,Y. Bissouma,Mali,No,CM,Right,€10.4M,€5M,€23K,176lbs,High/ Medium,74,21,64,72,76,74,70,65,62,75,3793,50,75,Low,12,8,8,12,8,60,68,1,59,70,72,62,1,72,58,67,82,66,73,80,3,68,1922,71,64,72,67,72,38,3
Normal,Empoli,Empoli,2023,6'0,229758,33,10-07-2015,,R. Krunić,Bosnia Herzegovina,No,RCM,Right,€10.3M,€5.5M,€11K,163lbs,High/ Medium,71,24,56,74,66,78,64,65,70,76,2909,60,65,High,14,9,12,10,14,60,50,1,68,73,72,64,1,73,64,68,78,68,76,72,3,62,1945,69,73,64,68,71,63,3
Normal,Sampdoria,Sampdoria,2023,6'0,199763,18,04-01-2017,,B. Bereszyński,Poland,No,LB,Right,€10.7M,€6M,€25K,170lbs,High/ Medium,85,25,74,76,72,70,70,70,60,68,2240,50,50,High,9,8,16,7,15,60,70,1,70,62,60,66,1,74,50,60,77,70,68,64,3,72,1928,87,79,75,69,60,56,3
Normal,Milan,Milan,2023,6'0,237715,63,01-07-2015,,P. Cutrone,Italy,No,RS,Right,€30.4M,€16M,€62K,172lbs,High/ Medium,75,20,60,69,76,76,72,48,68,74,1070,80,42,Low,10,7,7,10,5,76,14,1,75,34,62,36,1,77,68,80,89,74,70,74,3,18,1759,77,72,20,74,56,72,3
Normal,Vitória Guimarães,Vitória Guimarães,30-Jun-19,6'0,239950,8,,SL Benfica,Pêpê,Portugal,No,CM,Right,,€2.8M,€5K,152lbs,High/ Medium,64,21,68,62,61,71,69,58,48,68,5043,38,50,Low,13,12,9,14,9,60,64,1,65,73,62,67,1,70,52,59,80,71,71,63,3,61,1783,59,76,66,67,68,34,3
Normal,RSC Anderlecht,RSC Anderlecht,30-Jun-19,6'0,231745,9,,VfL Wolfsburg,L. Dimata,Belgium,No,ST,Right,,€8.5M,€29K,183lbs,High/ Medium,79,20,66,69,63,70,67,55,43,74,2194,77,42,Low,12,15,12,5,10,72,16,1,78,36,58,24,1,74,73,69,82,68,67,78,3,18,1723,81,71,24,79,65,54,3
Normal,Nîmes Olympique,Nîmes Olympique,2019,6'1,205188,7,05-07-2016,,R. Alioui,Morocco,No,ST,Right,€4.7M,€2.2M,€12K,181lbs,High/ Medium,66,26,49,69,46,69,65,57,63,69,5225,70,74,Low,15,15,11,6,7,67,36,1,71,43,70,41,1,70,55,69,73,63,60,74,3,11,1699,74,64,19,75,66,55,3
Normal,Angers SCO,Concaf clubs,2020,6'1,219641,9,31-08-2018,,Cristian López,Spain,No,ST,Right,€4.7M,€2.4M,€17K,176lbs,High/ Medium,79,29,79,68,58,71,64,38,49,66,4731,72,41,Low,7,14,15,7,7,73,36,1,77,31,57,18,1,71,68,73,71,68,58,69,3,30,1703,74,80,25,77,62,56,3
Normal,KAA Gent,KAA Gent,2022,6'1,239148,23,01-07-2017,,F. Andrijašević,Croatia,No,CAM,Right,€4.3M,€2.7M,€13K,181lbs,High/ Medium,68,27,69,53,48,73,70,56,69,71,4108,70,61,Low,11,14,11,9,11,74,46,1,69,65,69,51,1,71,71,74,72,67,71,74,3,57,1900,72,74,60,73,71,68,3
Normal,Stade Malherbe Caen,Stade Malherbe Caen,2022,6'1,231041,11,04-07-2018,,C. Ninga,Chad,No,LW,Right,€11.4M,€5.5M,€20K,179lbs,High/ Medium,90,25,69,70,59,67,67,66,65,70,2919,70,53,Low,6,11,9,15,9,63,24,1,78,55,72,21,1,73,72,70,78,71,62,79,3,23,1829,90,84,25,77,59,75,3
Normal,Watford,Watford,2023,6'1,231638,17,01-02-2016,,A. Peñaranda,Venezuela,No,ST,Right,€12.6M,€6M,€32K,183lbs,High/ Medium,78,21,62,77,63,78,65,64,65,79,3116,71,63,Low,6,14,13,8,6,64,36,1,60,56,69,26,1,73,77,72,81,70,69,70,3,31,1819,75,46,37,64,75,75,3
Normal,Real Salt Lake,Real Salt Lake,2023,6'1,215886,6,08-02-2018,,D. Kreilach,Croatia,No,ST,Right,€8.3M,€5.5M,€8K,172lbs,High/ Medium,57,29,74,65,62,71,71,56,68,72,2229,72,76,High,14,8,8,9,13,72,64,1,85,73,76,67,1,74,64,73,74,79,73,78,3,57,2005,54,91,66,83,69,56,3
Normal,Atlético Bucaramanga,Atlético Bucaramanga,31-Dec-18,6'1,214350,9,,Junior FC,M. Rangel,COLOMBIANA,No,ST,Right,,€4.3M,€4K,176lbs,High/ Medium,59,27,54,71,56,68,68,49,60,64,2779,78,62,High,8,8,8,13,15,78,31,1,79,50,70,54,1,73,65,81,73,67,58,74,3,23,1785,63,74,25,79,61,80,3
Normal,Club Atlas,Club Atlas,2019,6'2,223685,19,01-07-2018,,O. Rivero,Uruguay,No,ST,Right,€7M,€3.9M,€17K,181lbs,High/ Medium,72,26,69,75,70,69,67,25,26,68,3802,72,24,High,11,13,9,14,14,71,22,1,72,57,69,20,1,72,73,73,75,69,62,74,3,20,1683,73,74,19,80,53,71,3
Normal,1. FC Union Berlin,Europe league,2019,6'2,193254,28,01-07-2014,,C. Trimmel,Austria,No,RB,Right,€3.3M,€2M,€20K,179lbs,High/ Medium,74,31,75,70,55,67,62,74,57,68,3888,60,42,High,16,8,6,8,15,64,59,1,54,62,56,70,1,72,59,65,72,72,69,61,3,65,1895,86,88,69,80,65,56,3
Normal,Palermo,Palermo,2019,6'2,189557,3,02-07-2015,,A. Rispoli,Italy,No,RM,Right,€4.8M,€3M,€4K,183lbs,High/ Medium,81,29,69,73,54,73,67,71,57,69,2880,68,49,High,15,10,14,9,12,69,68,1,80,68,55,67,1,73,45,67,73,73,68,67,3,67,1952,83,87,70,82,61,51,3
Normal,Standard de Liège,Standard de Liège,2021,6'2,184136,70,19-07-2018,,Orlando Sá,Portugal,No,ST,Right,€5.8M,€3.9M,€15K,187lbs,High/ Medium,63,30,73,63,56,73,74,49,49,71,2764,76,41,Low,10,13,14,10,6,78,22,1,71,49,59,48,1,73,71,76,73,67,65,75,3,25,1756,58,71,43,80,67,64,3
Normal,Getafe CF,Getafe CF,2021,6'2,223578,7,02-07-2018,,Mata,Spain,No,LS,Right,€15.8M,€7.5M,€25K,172lbs,High/ Medium,72,29,73,66,36,72,70,62,55,70,1345,81,48,High,12,8,10,6,12,72,19,1,64,49,71,29,1,76,76,81,76,72,61,76,3,29,1768,76,76,28,81,56,69,3
Normal,Eintracht Frankfurt,Eintracht Frankfurt,2021,6'2,202429,24,01-07-2017,,D. da Costa,Germany,No,RM,Right,€16M,€9M,€27K,194lbs,High/ Medium,77,24,72,68,61,74,65,78,64,73,1122,39,49,Low,15,15,12,6,6,70,73,1,81,70,55,74,1,77,40,67,79,75,74,65,3,73,1962,84,79,77,80,64,52,3
Normal,Cagliari,Cagliari,2022,6'2,211394,24,19-01-2017,,P. Faragò,Italy,No,RM,Right,€5.1M,€2.9M,€18K,176lbs,High/ Medium,69,25,66,55,55,74,71,69,50,70,4545,60,40,High,7,7,13,6,9,51,65,1,65,74,49,70,1,71,46,69,73,70,74,65,3,60,1790,66,75,66,69,69,37,3
Normal,Celtic,Celtic,2022,6'2,233866,22,01-07-2018,,O. Edouard,France,No,ST,Right,€14M,€7M,€32K,183lbs,High/ Medium,88,20,64,72,73,74,68,52,69,76,2936,73,55,High,7,6,13,11,13,68,35,1,67,48,65,44,1,73,69,70,84,66,68,73,3,28,1849,82,72,40,76,68,64,3
Normal,SC Braga,SC Braga,2022,6'2,195096,27,01-07-2017,,Fransérgio,BRAZIL,No,LCM,Right,€12M,€6M,€13K,181lbs,High/ Medium,51,27,80,57,52,75,75,67,59,73,2110,67,56,Low,9,7,5,6,7,74,69,1,52,77,76,68,1,74,73,77,74,73,74,85,3,68,1949,59,70,71,75,71,66,3
Normal,Ulsan Hyundai FC,Ulsan Hyundai FC,2023,6'2,213170,6,23-07-2016,,Jeong Jae Yong,Korea Republic,No,CDM,Right,€1.9M,€1.5M,€5K,172lbs,High/ Medium,69,27,80,70,53,65,59,58,33,59,5369,54,40,Low,15,16,6,13,10,59,66,1,73,73,69,63,1,70,39,65,70,69,71,68,3,59,1808,41,82,65,78,70,57,3
Normal,Amiens SC,Amiens SC,30-Jun-19,6'2,203393,5,,Palermo,E. Gnahoré,France,No,LDM,Right,,€4.1M,€3K,194lbs,High/ Medium,68,24,65,61,64,74,70,61,63,74,3622,63,62,High,13,9,10,9,13,58,66,1,61,68,67,64,1,72,57,68,77,69,76,66,3,48,1883,66,72,67,81,69,51,3
Normal,Real Oviedo,Real Oviedo,2020,6'3,197238,17,04-08-2018,,I. Baldé,Senegal,No,ST,Right,€6.4M,€4M,€11K,187lbs,High/ Medium,70,29,71,60,46,67,66,59,60,69,2881,72,59,Low,9,11,12,8,11,75,17,1,73,43,71,14,1,73,64,72,73,72,63,77,3,14,1745,76,77,32,82,67,72,3
Normal,Viktoria Plzeň,Viktoria Plzeň,2021,6'3,205478,11,01-07-2010,,M. Krmenčík,Czech Republic,No,ST,Right,€20.5M,€9M,€1K,198lbs,High/ Medium,72,25,78,70,57,71,59,55,56,69,1906,77,53,High,7,7,9,15,13,76,23,1,58,43,65,17,1,75,67,78,80,72,64,69,3,20,1737,76,65,25,84,60,66,3
Normal,Al Ittihad,Al Ittihad,2023,6'3,223489,45,10-07-2018,,A. Pešić,Serbia,No,ST,Right,€4M,€2.2M,€22K,176lbs,High/ Medium,65,26,73,62,44,68,71,58,56,67,4754,67,55,Low,14,12,14,10,10,70,30,1,74,49,65,54,1,70,67,71,73,66,71,77,3,46,1801,51,71,48,82,66,68,3
Normal,Brentford,Brentford,2020,6'4,190633,14,10-06-2017,,H. Dalsgaard,Denmark,No,RB,Right,€4.7M,€2.5M,€29K,179lbs,High/ Medium,77,28,68,68,66,67,58,70,48,66,3733,58,52,Low,12,14,12,9,8,62,75,1,65,58,54,67,1,72,52,69,72,66,64,67,3,70,1870,82,70,72,73,58,51,3
Normal,Celtic,Celtic,2022,6'5,224258,3,15-06-2016,,K. Ajer,Norway,No,CB,Right,€11M,€5.5M,€26K,207lbs,High/ Medium,62,20,75,50,58,73,75,55,58,71,2612,48,52,High,9,9,14,7,10,74,68,1,52,66,53,70,1,73,49,52,82,55,68,64,3,72,1810,68,82,74,88,63,41,3
Stocky,Yeni Malatyaspor,Asia clubs,2019,5'10,167753,10,07-09-2017,,A. Büyük,Turkey,No,LM,Right,€5.9M,€2.9M,€11K,172lbs,High/ Medium,75,30,74,82,84,76,70,62,63,76,3436,72,45,High,11,7,15,15,11,71,37,1,92,62,71,21,1,72,59,70,72,71,70,71,3,20,1830,77,73,19,48,65,65,3
Stocky,Leeds United,Leeds United,2021,5'10,224081,23,01-07-2014,,K. Phillips,England,No,CDM,Right,€9.8M,€4.7M,€26K,159lbs,High/ Medium,66,22,82,68,70,69,64,57,52,63,2793,64,67,High,8,8,8,12,14,60,71,1,75,72,70,69,1,73,58,66,79,67,72,75,3,73,1956,67,83,74,77,64,55,3
Stocky,RC Strasbourg Alsace,RC Strasbourg Alsace,2021,5'11,197480,9,21-07-2017,,I. Saadi,Algeria,No,ST,Right,€4.4M,€2.1M,€12K,187lbs,High/ Medium,73,26,71,65,71,65,67,42,59,66,5133,71,61,Low,11,9,8,8,7,66,18,1,84,39,54,14,1,70,68,74,71,65,61,78,3,18,1693,68,76,19,78,58,68,3
Stocky,Paraná,Paraná,2021,5'11,230486,7,01-01-2018,,Paulolettinho,BRAZIL,No,LAM,Right,€2.3M,€1.2M,€14K,176lbs,High/ Medium,82,34,31,71,72,71,72,74,63,75,4241,61,64,Low,12,12,11,12,10,44,45,1,66,66,55,26,1,71,45,66,71,66,72,61,3,27,1734,81,61,26,73,71,62,3
Stocky,Hannover 96,Hannover 96,30-Jun-19,5'11,202428,7,,Hamburger SV,B. Wood,United States,No,ST,Right,,€5M,€13K,174lbs,High/ Medium,85,25,60,74,75,72,62,62,67,71,3056,75,62,High,12,8,15,16,12,68,36,1,82,61,64,18,1,73,72,67,76,67,64,76,3,18,1816,77,72,20,76,38,74,3
Stocky,Real Zaragoza,Real Zaragoza,2020,5'8,228144,8,01-07-2013,,Jorge Pombo,Spain,No,RS,Right,€8M,€4.4M,€8K,172lbs,High/ Medium,68,24,76,64,80,73,74,68,66,75,3361,68,69,Low,12,13,8,8,10,61,52,1,64,71,72,58,1,72,67,72,79,66,73,80,3,57,1984,69,76,64,89,71,64,3
Stocky,Unión de Santa Fe,Unión de Santa Fe,2020,5'8,232546,11,21-07-2017,,D. Zabala,Uruguay,No,RM,Right,€5M,€3.3M,€11K,141lbs,High/ Medium,75,26,25,75,74,74,63,76,62,72,3515,74,62,Low,11,15,8,11,14,60,30,1,66,68,75,43,1,72,62,66,72,61,71,76,3,40,1842,69,71,39,78,73,66,3
Stocky,River Plate,River Plate,2020,5'9,225880,4,23-07-2016,,J. Moreira,Paraguay,No,RB,Right,€4.4M,€3.2M,€18K,170lbs,High/ Medium,86,28,65,76,76,74,68,76,59,67,2804,26,32,Low,8,9,15,16,6,65,59,1,66,71,59,71,1,73,39,62,73,64,76,55,3,66,1822,88,84,72,55,51,28,3
Stocky,FC Utrecht,FC Utrecht,2021,6'0,219814,17,27-04-2013,,S. Klaiber,Netherlands,No,RB,Right,€3.9M,€2.5M,€9K,168lbs,High/ Medium,78,23,75,68,60,63,66,69,67,61,4475,53,66,High,16,13,12,15,14,64,68,1,73,60,70,67,1,71,52,54,74,66,63,77,3,68,1944,83,88,69,80,56,56,3
Lean,Vancouver Whitecaps FC,Vancouver Whitecaps FC,2019,6'2,212469,66,11-08-2017,,A. Ghazal,Egypt,No,CDM,Right,€5.1M,€3.2M,€6K,185lbs,Low/ High,52,26,79,70,53,68,71,44,48,63,3929,25,30,Low,9,13,14,13,6,73,73,1,48,63,39,71,1,72,39,47,75,72,69,50,3,69,1674,51,76,69,86,61,31,3
Normal,Independiente,Independiente,2020,5'9,167665,5,24-07-2017,,N. Domingo,Argentina,No,LDM,Right,€4.4M,€3.1M,€19K,154lbs,Low/ High,58,33,73,74,75,75,74,58,59,66,1546,54,47,Low,7,16,14,10,15,58,76,1,68,77,68,73,1,76,68,56,76,75,75,67,3,71,1935,55,77,78,66,68,58,3
Normal,América de Cali,América de Cali,30-Jun-19,6'0,212351,14,,Beşiktaş JK,P. Franco,COLOMBIANA,No,LCB,Right,,€1.7M,€22K,161lbs,Low/ High,56,27,72,66,77,66,69,57,62,63,5203,48,66,Low,7,14,6,12,10,70,73,1,69,65,47,63,1,70,64,43,72,67,67,69,3,71,1826,60,73,68,71,60,44,3
Normal,Atlético Tucumán,Atlético Tucumán,2019,6'1,191104,5,23-07-2018,,J. Mercier,Argentina,No,RDM,Right,€638K,€425K,€6K,172lbs,Low/ High,65,38,75,67,63,74,67,64,71,66,3619,57,66,High,14,11,12,10,15,63,73,1,80,70,68,76,1,72,60,66,72,75,75,72,3,65,1953,50,37,73,80,75,65,3
Normal,Brentford,Brentford,2020,6'1,192495,19,01-07-2016,,R. Sawyers,St Kitts Nevis,No,LCM,Right,€5.5M,€2.8M,€26K,148lbs,Low/ High,70,26,34,82,80,74,73,54,65,68,4694,58,51,Low,12,11,6,15,6,53,42,1,46,73,66,42,1,71,57,62,72,64,76,68,3,34,1757,71,66,45,70,74,62,3
Normal,FC Nantes,FC Nantes,2022,6'2,210450,19,01-07-2014,,A. Touré,France,No,LCM,Right,€15.8M,€8M,€20K,185lbs,Low/ High,56,24,73,38,38,75,61,48,49,60,1222,38,49,Low,8,15,9,9,7,51,77,1,30,73,77,77,1,76,39,46,79,71,72,77,3,74,1719,42,75,79,89,56,42,3
Lean,AIK,AIK,2020,5'10,190424,8,01-01-2018,,E. Adu,Ghana,No,CM,Right,€3.2M,€2.4M,€7K,148lbs,Low/ Low,65,27,36,90,83,79,78,58,67,66,4614,31,55,High,15,9,6,9,13,35,72,1,63,74,49,66,1,71,56,53,71,75,73,44,3,53,1737,37,72,72,57,73,31,3
Lean,1. FC Nürnberg,1. FC Nürnberg,2020,6'1,204939,21,07-01-2014,,O. Petrák,Czech Republic,No,CDM,Right,€3.5M,€1.8M,€12K,174lbs,Low/ Medium,74,26,55,66,60,67,70,60,57,63,5243,30,24,Low,12,13,7,13,11,72,74,1,77,68,65,68,1,70,30,40,73,64,71,48,3,70,1748,76,73,72,73,66,29,3
Lean,Celtic,Celtic,2020,6'4,206317,6,30-08-2013,,N. Bitton,Israel,No,CDM,Right,€4.3M,€2.3M,€28K,185lbs,Low/ Medium,45,26,70,50,50,69,76,50,43,67,4685,35,48,Low,14,10,8,11,6,68,71,1,62,72,64,67,1,71,46,48,72,60,72,72,3,70,1735,58,72,73,78,66,40,3
Normal,MKE Ankaragücü,MKE Ankaragücü,2019,5'10,223278,22,10-08-2017,,E. Özgenç,Turkey,No,RB,Right,€2.4M,€1.2M,€15K,157lbs,Low/ Medium,62,33,70,68,71,68,68,73,77,74,3355,42,73,Low,13,12,12,14,9,66,65,1,63,68,69,74,1,72,66,66,72,68,70,81,3,74,1949,72,72,75,69,65,28,3
Normal,Estudiantes de La Plata,Estudiantes de La Plata,2019,5'7,142670,22,01-07-2016,,R. Braña,Argentina,No,RDM,Right,€180K,€120K,€6K,154lbs,Low/ Medium,39,39,77,60,68,70,75,61,58,71,5040,49,59,High,15,8,9,8,14,61,68,1,65,77,66,71,1,70,50,58,70,64,73,69,3,69,1804,41,40,74,61,69,62,3
Stocky,Atlético Bucaramanga,Atlético Bucaramanga,2019,6'0,174732,8,04-01-2017,,G. Gómez,Panama,No,LDM,Right,€743K,€550K,€1K,181lbs,Low/ Medium,63,34,80,81,62,68,72,72,70,64,5249,50,69,High,9,11,16,6,13,63,69,1,66,70,61,60,1,70,69,55,70,72,68,74,3,60,1926,64,74,66,77,66,58,3
Lean,Galatasaray SK,Galatasaray SK,2019,5'10,198599,17,13-01-2016,,M. Linnes,Norway,No,RB,Right,€7.5M,€3.8M,€37K,159lbs,Medium/ High,86,26,62,82,80,73,59,68,65,72,3077,57,38,High,13,10,6,11,16,55,72,1,66,62,59,67,1,73,41,65,74,68,68,60,3,71,1904,87,82,72,60,63,47,3
Lean,Paris Saint-Germain,Europe league,2020,5'10,232411,24,23-12-2015,,C. Nkunku,France,No,CM,Right,€23.6M,€11.5M,€46K,159lbs,Medium/ High,76,20,62,78,79,80,72,69,77,82,1524,76,69,High,5,6,10,15,7,59,69,1,59,72,74,69,1,76,65,73,84,70,79,79,3,70,2042,75,71,72,63,73,59,3
Lean,Sint-Truidense VV,Sint-Truidense VV,2019,5'11,228804,5,03-01-2016,,A. De Sart,Belgium,No,LDM,Right,€5.6M,€3.3M,€6K,148lbs,Medium/ High,62,21,59,73,71,71,64,69,73,67,4553,59,70,Low,14,12,12,15,10,67,69,1,63,73,74,67,1,71,58,66,78,67,72,72,3,61,1950,64,79,65,58,71,67,3
Lean,Norwich City,Norwich City,2021,5'11,204193,19,04-08-2017,,T. Trybull,Germany,No,CDM,Right,€6.3M,€3.2M,€18K,159lbs,Medium/ High,66,25,80,69,70,67,71,57,56,63,3706,35,54,Low,15,13,11,13,6,58,74,1,74,66,61,72,1,72,55,52,74,65,71,61,3,64,1855,58,82,74,74,63,56,3
Lean,La Berrichonne de Châteauroux,La Berrichonne de Châteauroux,2019,5'7,163713,13,08-08-2017,,C. Mandanne,France,No,LS,Right,€2M,€1.1M,€5K,139lbs,Medium/ High,72,33,67,90,77,69,72,62,66,71,5214,68,49,High,6,13,13,16,16,62,36,1,62,66,67,32,1,70,67,74,70,75,72,71,3,32,1863,80,69,52,48,72,71,3
Lean,FC Wacker Innsbruck,FC Wacker Innsbruck,2021,5'8,239498,6,01-07-2018,,B. Henning,Germany,No,RCM,Right,€3.9M,€2.4M,€6K,159lbs,Medium/ High,78,23,85,85,80,68,71,37,33,68,5242,51,36,High,6,8,14,6,9,38,68,1,87,65,62,60,1,70,36,28,79,68,67,60,3,78,1780,82,80,72,62,55,48,3
Lean,En Avant de Guingamp,Concaf clubs,2021,5'8,213725,6,01-07-2017,,L. Phiri,South Africa,No,CM,Right,€9.2M,€4.2M,€14K,139lbs,Medium/ High,75,23,68,77,76,74,71,64,69,72,3864,53,57,High,15,8,8,14,13,64,69,1,70,71,59,72,1,72,58,60,78,72,75,59,3,70,1962,75,75,74,69,68,59,3
Lean,Preston North End,Preston North End,2020,5'9,213689,4,11-01-2016,,B. Pearson,England,No,RDM,Right,€16.8M,€8M,€12K,157lbs,Medium/ High,71,23,95,70,75,71,72,52,45,69,1948,47,40,Low,8,15,9,16,11,50,74,1,85,67,44,73,1,75,42,57,81,66,71,63,3,74,1875,69,90,75,78,63,40,3
Lean,KAA Gent,KAA Gent,2020,5'9,210831,6,17-01-2017,,B. Verstraete,Belgium,No,LCM,Right,€11.8M,€7.5M,€16K,150lbs,Medium/ High,79,24,88,81,75,70,69,69,59,64,1860,48,68,Low,11,14,14,10,12,67,78,1,87,75,59,72,1,75,76,54,80,69,72,73,3,73,2027,67,87,73,71,68,44,3
Lean,Racing Club,Racing Club,2021,5'9,212214,18,15-07-2017,,A. Solari,Argentina,No,RM,Right,€7.4M,€4.7M,€17K,152lbs,Medium/ High,89,26,64,87,77,68,62,71,68,71,3189,56,74,Low,7,15,13,11,7,48,62,1,87,66,63,53,1,73,58,63,74,73,70,65,3,62,1956,90,78,54,74,75,37,3
Lean,CD Huachipato,CD Huachipato,31-Dec-18,5'9,214413,21,,Universidad de Chile,S. Martínez,Chile,No,CDM,Right,,€2.5M,€7K,150lbs,Medium/ High,69,24,69,61,62,67,58,56,52,66,4399,44,53,Low,8,13,12,7,13,45,72,1,80,67,37,69,1,71,45,41,74,67,71,55,3,73,1776,67,82,69,64,59,61,3
Lean,Granada CF,Granada CF,2019,6'0,183353,16,04-07-2017,,Víctor Díaz,Spain,No,RB,Right,€2.7M,€1.7M,€6K,159lbs,Medium/ High,65,30,73,58,62,69,64,71,59,64,4152,58,51,High,14,8,10,13,12,70,69,1,91,56,49,45,1,71,42,59,71,72,69,65,3,73,1852,72,89,71,74,64,35,3
Lean,Club Atlético Tigre,Club Atlético Tigre,2019,6'0,193535,21,10-01-2018,,S. Prediger,Argentina,No,LDM,Right,€4M,€2.7M,€12K,187lbs,Medium/ High,68,31,83,71,60,77,76,62,66,68,3212,55,71,Low,15,16,6,9,12,73,71,1,80,65,69,72,1,73,58,61,73,68,65,72,3,68,2006,72,82,78,73,72,68,3
Lean,En Avant de Guingamp,Concaf clubs,2021,6'0,234622,18,28-08-2018,,G. Fofana,France,No,CDM,Right,€7.2M,€3.5M,€14K,170lbs,Medium/ High,61,25,65,62,57,72,69,64,45,70,3605,58,42,Low,7,14,13,11,5,54,71,1,66,69,64,70,1,72,52,60,77,68,74,67,3,69,1845,65,73,73,80,69,55,3
Lean,SD Eibar,SD Eibar,2022,6'0,199158,6,26-07-2018,,Sergio Álvarez,Spain,No,CDM,Right,€15.2M,€7M,€20K,163lbs,Medium/ High,70,26,76,72,60,72,82,54,59,65,2051,60,52,Low,12,13,16,16,8,57,76,1,73,75,73,67,1,75,41,70,78,75,73,80,3,69,1976,69,90,75,76,73,59,3
Lean,Atalanta,Atalanta,2020,6'1,222501,21,07-07-2017,,T. Castagne,Belgium,No,LM,Right,€6.3M,€3.3M,€14K,176lbs,Medium/ High,69,22,66,70,66,73,62,76,54,73,4084,52,33,High,14,9,15,10,15,59,66,1,70,68,52,73,1,71,27,62,78,68,71,62,3,70,1836,72,84,72,63,62,40,3
Lean,Montpellier HSC,Montpellier HSC,2020,6'1,225126,13,01-07-2015,,E. Skhiri,Tunisia,No,RCM,Right,€20.8M,€10M,€21K,152lbs,Medium/ High,63,23,74,74,64,73,68,71,70,74,1017,62,55,Low,15,14,8,14,14,73,85,1,75,74,76,79,1,77,58,56,81,67,75,78,3,72,2029,69,76,79,68,67,57,3
Lean,Standard de Liège,Standard de Liège,2021,6'1,226289,5,11-07-2018,,U. Agbo,Nigeria,No,CDM,Right,€8.2M,€4.8M,€11K,168lbs,Medium/ High,58,22,82,59,57,70,64,48,47,65,3178,48,49,High,10,8,8,10,13,66,70,1,62,74,62,70,1,73,39,54,80,71,71,77,3,71,1836,64,82,74,75,60,62,3
Lean,Deportivo Alavés,Concaf clubs,2021,6'1,198368,8,12-08-2018,,Tomás Pina,Spain,No,RCM,Right,€16.8M,€8M,€25K,165lbs,Medium/ High,60,30,73,64,51,78,65,55,65,76,1166,62,60,High,8,12,11,7,15,68,76,1,69,78,68,61,1,77,59,71,77,77,79,73,3,69,1950,54,69,77,72,74,59,3
Lean,Arsenal,Europe league,2023,6'1,236496,29,11-07-2018,,M. Guendouzi,France,No,CDM,Right,€10M,€4M,€20K,150lbs,Medium/ High,66,19,73,64,65,68,73,67,68,69,4590,56,55,Low,6,13,6,13,11,64,71,1,66,75,65,62,1,71,49,51,84,67,74,69,3,64,1860,60,69,69,63,73,49,3
Lean,Hellas Verona,Hellas Verona,30-Jun-19,6'1,194753,6,,Juventus,L. Marrone,Italy,No,LCB,Right,,€3.2M,€61K,165lbs,Medium/ High,48,28,66,60,62,75,68,67,72,72,3069,40,72,High,8,4,3,7,5,72,74,1,70,74,75,77,1,73,73,56,73,69,75,80,3,72,1943,61,76,72,73,69,64,3
Lean,Chievo Verona,Chievo Verona,2021,6'2,190330,4,05-09-2012,,N. Rigoni,Italy,No,RCM,Right,€10.2M,€6M,€15K,185lbs,Medium/ High,52,27,70,58,63,75,75,61,64,71,2320,46,61,High,4,10,13,6,13,67,73,1,67,76,69,63,1,74,51,61,74,71,78,61,3,64,1868,58,77,68,75,71,51,3
Lean,Royal Antwerp FC,Royal Antwerp FC,2022,6'2,237555,9,01-07-2018,,J. Bolingi,DR Congo,No,LW,Right,€5.1M,€3.2M,€8K,154lbs,Medium/ High,74,24,65,59,54,70,68,48,39,69,4706,70,24,Low,8,14,5,9,9,76,23,1,78,47,63,22,1,71,66,70,76,66,66,68,3,20,1655,78,79,25,71,62,58,3
